,model,p,algo,time,epc
176,ER,1.0,Greedy with MIS + Local Search,26.522773292999773,2731.89915
177,ER,1.0,REGA,2.056299459996808,3739.6584
178,ER,1.0,REGA + Local Search,32.23514116700244,2858.35185
179,ER,1.0,GRASP,25.041305038001155,3079.7442
180,ER,1.0,GRASP + Local Search,25.487997903997893,3078.4806
181,ER,1.0,GRASP + Path Relinking,27.405744958996365,3080.3409
182,ER,1.0,GRASP + Path Relinking + Local Search,42.18767931700131,3008.7738
183,ER,1.0,GNN (1 shot),0.0545609230030095,3488.31495
184,ER,1.0,GNN (1 shot) + Local Search,30.22068005699839,2862.43425
185,ER,1.0,Greedy GNN,0.1561211180014652,3355.9347
186,ER,1.0,Greedy GNN + Local Search,24.03923449699505,3086.08155
0,BA,0.0,Degree-based,0.0013154690022929,0.0
1,BA,0.0,Betweenness,0.0166176060010911,0.0
2,BA,0.0,PageRank,0.0028403670003172,0.0
3,BA,0.0,Greedy,0.0249636660009855,0.0
4,BA,0.0,Greedy + Local Search,0.2327390139980707,0.0
5,BA,0.0,Greedy with MIS,0.2936493340021116,0.0
6,BA,0.0,Greedy with MIS + Local Search,1.113679449998017,0.0
7,BA,0.0,REGA,0.4212577659927774,0.0
8,BA,0.0,REGA + Local Search,0.6019575529935537,0.0
9,BA,0.0,GRASP,0.8837643309962004,0.0
10,BA,0.0,GRASP + Local Search,0.9669578270040802,0.0
11,BA,0.0,GRASP + Path Relinking,2.2644829340060824,0.0
12,BA,0.0,GRASP + Path Relinking + Local Search,2.539092802995583,0.0
13,BA,0.0,GNN (1 shot),0.0289908830018248,0.0
14,BA,0.0,GNN (1 shot) + Local Search,0.1940790480002761,0.0
15,BA,0.0,Greedy GNN,0.1054606869947747,0.0
16,BA,0.0,Greedy GNN + Local Search,0.4967827399959788,0.0
17,BA,0.1,Degree-based,0.0015222589936456,8.31825
18,BA,0.1,Betweenness,0.0177452799980528,8.55225
19,BA,0.1,PageRank,0.0026490029995329,7.9614
20,BA,0.1,Greedy,0.1043916850030655,9.1089
21,BA,0.1,Greedy + Local Search,0.4725887849999708,8.08245
22,BA,0.1,Greedy with MIS,0.7897092910061474,8.5806
23,BA,0.1,Greedy with MIS + Local Search,2.1045356599934166,8.3241
24,BA,0.1,REGA,0.4487282670015702,8.4069
25,BA,0.1,REGA + Local Search,1.2989887060030014,7.9776
26,BA,0.1,GRASP,0.6787101329973666,8.0397
27,BA,0.1,GRASP + Local Search,2.8397315809997963,7.9839
28,BA,0.1,GRASP + Path Relinking,1.898361861000012,7.9029
29,BA,0.1,GRASP + Path Relinking + Local Search,2.6463426319969585,8.9973
30,BA,0.1,GNN (1 shot),0.0220039110063225,9.1764
31,BA,0.1,GNN (1 shot) + Local Search,1.0201219959999437,8.3592
32,BA,0.1,Greedy GNN,0.1052450190036324,8.00865
33,BA,0.1,Greedy GNN + Local Search,0.3116367449983954,7.88535
34,BA,0.2,Degree-based,0.0016054539955803,19.8756
35,BA,0.2,Betweenness,0.014160767001158,20.9259
36,BA,0.2,PageRank,0.0027034200029447,18.53235
37,BA,0.2,Greedy,0.0974681599982432,19.0917
38,BA,0.2,Greedy + Local Search,0.7227634619994205,18.846
39,BA,0.2,Greedy with MIS,0.2292388819987536,20.41335
40,BA,0.2,Greedy with MIS + Local Search,2.406301524999435,19.07595
41,BA,0.2,REGA,0.4581871660047909,21.1257
42,BA,0.2,REGA + Local Search,2.4955161749967374,18.9738
43,BA,0.2,GRASP,1.0697179440030595,18.60795
44,BA,0.2,GRASP + Local Search,2.9199996710012783,18.504
45,BA,0.2,GRASP + Path Relinking,9.585650047003584,20.64105
46,BA,0.2,GRASP + Path Relinking + Local Search,4.718452729997807,18.29115
47,BA,0.2,GNN (1 shot),0.029613104998134,22.52385
48,BA,0.2,GNN (1 shot) + Local Search,0.9206968319995212,18.47025
49,BA,0.2,Greedy GNN,0.1060093240012065,18.20925
50,BA,0.2,Greedy GNN + Local Search,1.820411761997093,18.37575
51,BA,0.3,Degree-based,0.0137710039998637,36.09135
52,BA,0.3,Betweenness,0.013332784998056,37.30815
53,BA,0.3,PageRank,0.005142235000676,32.6889
54,BA,0.3,Greedy,0.1953154410002753,32.71815
55,BA,0.3,Greedy + Local Search,1.629796745000931,33.02685
56,BA,0.3,Greedy with MIS,0.6122918969995226,71.8038
57,BA,0.3,Greedy with MIS + Local Search,0.9306201150029664,32.65155
58,BA,0.3,REGA,0.4802690049982629,34.7022
59,BA,0.3,REGA + Local Search,0.9839720590025536,32.4747
60,BA,0.3,GRASP,1.4518206770007964,32.8014
61,BA,0.3,GRASP + Local Search,2.1928479289999814,32.91885
62,BA,0.3,GRASP + Path Relinking,5.819418572995346,32.73705
63,BA,0.3,GRASP + Path Relinking + Local Search,12.816237255996384,32.5827
64,BA,0.3,GNN (1 shot),0.0321793540060753,43.2603
65,BA,0.3,GNN (1 shot) + Local Search,1.6536395879957126,32.7537
66,BA,0.3,Greedy GNN,0.107078981003724,32.7636
67,BA,0.3,Greedy GNN + Local Search,1.27275576700049,32.53185
68,BA,0.4,Degree-based,0.0018768009977065,60.3234
69,BA,0.4,Betweenness,0.0125333370015141,61.96635
70,BA,0.4,PageRank,0.0029517020011553,52.6995
71,BA,0.4,Greedy,0.3056832889997167,52.36155
72,BA,0.4,Greedy + Local Search,2.0455865380063187,52.56945
73,BA,0.4,Greedy with MIS,2.131880316999741,66.1707
74,BA,0.4,Greedy with MIS + Local Search,2.393279160001839,52.24185
75,BA,0.4,REGA,0.4509861709957476,52.1973
76,BA,0.4,REGA + Local Search,1.004147613006353,52.64055
77,BA,0.4,GRASP,2.41598609599896,52.41555
78,BA,0.4,GRASP + Local Search,3.3179247950029094,52.63605
79,BA,0.4,GRASP + Path Relinking,12.665048896997178,53.86365
80,BA,0.4,GRASP + Path Relinking + Local Search,7.524652738997247,52.7409
81,BA,0.4,GNN (1 shot),0.1451611029988271,76.69215
